data,ticker,fechamento_ajustado,EV_EBIT,ROIC,EBIT_EV,valor_de_mercado,year,month
2018-11-30,AALR3,12.89,28.90172,0.05195,0.03460001688480824,1535440752.0,2018,11
2018-12-28,AALR3,13.13,29.43716,0.05195,0.033970668366105974,1574477381.0,2018,12
2019-01-31,AALR3,15.48,32.79581,0.05195,0.030491700006799648,1819343510.0,2019,1
2019-02-28,AALR3,15.58,33.62331,0.05195,0.029741271754624994,1879672846.0,2019,2
2019-03-29,AALR3,14.32,16.38884,0.06236,0.061017131169747225,1717611688.0,2019,3
2019-04-30,AALR3,14.87,16.95753,0.06236,0.05897085247674633,1795684947.0,2019,4
2019-05-31,AALR3,13.9,15.68193,0.0652,0.0637676612508792,1672660418.0,2019,5
2019-06-28,AALR3,14.3,15.91625,0.0652,0.0628288698657033,1705782407.0,2019,6
2019-07-31,AALR3,14.67,16.53554,0.0652,0.06047579939935436,1793319091.0,2019,7
2019-08-30,AALR3,18.99,18.91405,0.06853,0.0528707495221806,2265307426.0,2019,8
2019-09-30,AALR3,19.09,18.97789,0.06853,0.05269289683942736,2274770852.0,2019,9
2019-10-31,AALR3,17.95,17.6372,0.06853,0.05669834214047581,2076038921.0,2019,10
2019-11-29,AALR3,18.54,18.03776,0.06919,0.05543925631564008,2210892731.0,2019,11
2019-12-30,AALR3,18.01,17.62739,0.06919,0.056729895917659964,2148197539.0,2019,12
2020-01-31,AALR3,20.85,20.35285,0.06919,0.04913316808211135,2564588251.0,2020,1
2020-02-28,AALR3,18.7,18.16164,0.06919,0.05506110681634478,2229819582.0,2020,2
2020-03-31,AALR3,8.93,11.3939,0.06565,0.08776626089398713,1098940261.0,2020,3
2020-04-30,AALR3,10.49,12.39725,0.06565,0.08066305027324608,1242074568.0,2020,4
2020-05-29,AALR3,10.2,16.83849,0.04359,0.059387747951271164,1206586723.0,2020,5
2020-06-30,AALR3,10.29,16.81604,0.04359,0.05946703266643038,1204220867.0,2020,6
2020-07-31,AALR3,11.36,18.54507,0.04359,0.05392268673021995,1386391804.0,2020,7
2020-08-31,AALR3,11.99,320.62766,-0.0043,0.0031188825068928865,1381660091.0,2020,8
2020-09-30,AALR3,10.15,291.96,-0.0043,0.0034251267296889986,1206586723.0,2020,9
2020-10-30,AALR3,9.68,281.88758,-0.0043,0.0035475135158491195,1145074459.0,2020,10
2020-11-30,AALR3,10.84,-129.89033,-0.01554,-0.00769880252055715,1318964898.0,2020,11
2020-12-30,AALR3,11.1,-129.48773,-0.01554,-0.007722739444115671,1313050258.0,2020,12
2021-01-29,AALR3,10.69,-126.18639,-0.01554,-0.007924784915393807,1264550203.0,2021,1
2021-02-26,AALR3,9.01,-112.65893,-0.01554,-0.008876349171787803,1065818272.0,2021,2
2021-03-31,AALR3,9.0,-178.60214,-0.01412,-0.005599037055211097,1064635344.0,2021,3
2021-04-30,AALR3,8.84,-177.82416,-0.01412,-0.005623532820287187,1057537775.0,2021,4
2021-05-31,AALR3,12.27,76.65544,0.00201,0.013045388559507322,1352086887.0,2021,5
2021-06-30,AALR3,11.76,75.9452,0.00201,0.013167389117416241,1334342964.0,2021,6
2021-07-30,AALR3,10.14,70.54738,0.00201,0.01417487084566429,1199489154.0,2021,7
2021-08-31,AALR3,12.66,19.42724,0.05101,0.051474115726165934,1803965444.0,2021,8
2021-09-30,AALR3,11.55,15.79509,0.05101,0.06331081367690845,1360367384.0,2021,9
2021-10-29,AALR3,14.8,18.99138,0.05101,0.05265546790175332,1750733677.0,2021,10
2021-11-30,AALR3,18.5,19.3149,0.06145,0.0517735012865715,2147014610.0,2021,11
2021-12-30,AALR3,14.97,16.68444,0.06145,0.05993608415985194,1770843456.0,2021,12
2022-01-31,AALR3,16.5,17.5199,0.06145,0.05707795135816986,1890319200.0,2022,1
2022-02-25,AALR3,16.95,18.32227,0.06145,0.054578390123057895,2005063231.0,2022,2
2022-03-31,AALR3,17.95,31.76945,0.04413,0.03147678036604348,2150563395.0,2022,3
2022-04-29,AALR3,19.41,33.4196,0.04413,0.029922560413649473,2296063559.0,2022,4
2022-05-31,AALR3,20.01,46.79002,0.0397,0.02137207891768373,2370588033.0,2022,5
2022-06-30,AALR3,19.51,45.5925,0.0397,0.021933432033777484,2292514774.0,2022,6
2022-07-29,AALR3,20.59,47.78795,0.0397,0.020925777314155555,2435649081.0,2022,7
2022-08-31,AALR3,20.1,59.25891,0.03917,0.016875099457617428,2377685602.0,2022,8
2022-09-30,AALR3,20.98,61.59055,0.03917,0.01623625702319593,2493612561.0,2022,9
2022-10-31,AALR3,21.19,61.7333,0.03917,0.016198712850276915,2500710130.0,2022,10
2022-11-30,AALR3,20.2,-818.70254,0.01283,-0.0012214448485771156,2403710021.0,2022,11
2022-12-29,AALR3,21.6,-859.13373,0.01283,-0.0011639631469247517,2555124826.0,2022,12
2023-01-31,AALR3,21.39,-852.81636,0.01283,-0.0011725853852053213,2531466262.0,2023,1
2023-02-28,AALR3,20.75,-824.07231,0.01283,-0.0012134857437449875,2423819800.0,2023,2
2023-03-31,AALR3,22.53,-108.77732,-0.00895,-0.009193092824864595,2668685929.0,2023,3
2023-04-28,AALR3,22.85,-109.84811,-0.00895,-0.009103479340700537,2702990846.0,2023,4
